game_identifier,match_id,scheduled,status,home_alias,away_alias,home_name,away_name,venue_name,venue_city,league,home_id,home_market,away_id,away_market,home_games_played,home_recent_points,home_recent_field_goals_pct,home_recent_three_points_pct,home_recent_free_throws_pct,home_recent_assists,home_recent_steals,home_recent_blocks,home_recent_offensive_rebounds,home_recent_defensive_rebounds,home_recent_wins,home_recent_losses,home_recent_win_pct,home_recent_ppg,home_recent_opp_ppg,home_recent_point_diff,home_recent_scoring_trend,away_games_played,away_recent_points,away_recent_field_goals_pct,away_recent_three_points_pct,away_recent_free_throws_pct,away_recent_assists,away_recent_steals,away_recent_blocks,away_recent_offensive_rebounds,away_recent_defensive_rebounds,away_recent_wins,away_recent_losses,away_recent_win_pct,away_recent_ppg,away_recent_opp_ppg,away_recent_point_diff,away_recent_scoring_trend,scoring_advantage_home,form_advantage_home,defensive_advantage_home,ball_control_advantage_home,home_winning_odds_decimal,away_winning_odds_decimal,total_line
2025-12-06_LAL@BOS,6485b15f-9a2f-477c-b153-95cc0010aa4a,2025-12-06T00:00:00+00:00,scheduled,BOS,LAL,Boston Celtics,Los Angeles Lakers,TD Garden,Boston,NBA,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,,583ecae2-fb46-11e1-82cb-f4ce4684ea4c,,5,108.4,44.9,35.74,74.84,27.2,8.0,5.6,13.6,35.2,4,1,0.8,108.4,96.6,11.8,up,5,115.8,49.5,43.36,70.78,23.4,8.4,4.0,10.4,31.8,3,2,0.6,115.8,110.0,5.8,up,-7.4,0.2,13.4,3.8,1.36,3.25,223.5
2025-12-06_MIA@ORL,6028a583-ea05-419d-af01-5a74e572f0a4,2025-12-06T00:00:00+00:00,scheduled,ORL,MIA,Orlando Magic,Miami Heat,Kia Center,Orlando,NBA,583ed157-fb46-11e1-82cb-f4ce4684ea4c,,583ecea6-fb46-11e1-82cb-f4ce4684ea4c,,5,111.6,48.02,39.4,76.62,26.0,10.0,6.6,11.6,31.8,4,1,0.8,111.6,103.4,8.2,stable,5,122.8,49.28,37.82,77.22,28.4,8.4,4.2,11.6,37.2,2,3,0.4,122.8,113.6,9.2,down,-11.2,0.4,10.2,-2.4,1.49,2.7,242.5
2025-12-06_SA@CLE,17487460-c85b-4bc7-95f1-0a29b0d98a00,2025-12-06T00:30:00+00:00,scheduled,CLE,SA,Cleveland Cavaliers,San Antonio Spurs,Rocket Arena,Cleveland,NBA,583ec773-fb46-11e1-82cb-f4ce4684ea4c,,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,,5,117.2,46.98,37.54,62.62,26.8,8.6,4.4,14.2,35.4,2,3,0.4,117.2,115.0,2.2,up,5,112.6,47.74,36.92,76.38,25.6,8.2,3.4,9.0,33.4,2,3,0.4,112.6,117.6,-5.0,down,4.6,0.0,2.6,1.2,1.51,2.64,238.5
2025-12-06_DEN@ATL,41ddf6ea-8b12-4430-8c61-004992ff731e,2025-12-06T00:30:00+00:00,scheduled,ATL,DEN,Atlanta Hawks,Denver Nuggets,State Farm Arena,Atlanta,NBA,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,,583ed102-fb46-11e1-82cb-f4ce4684ea4c,,5,126.6,52.14,42.02,73.7,32.8,8.4,3.4,11.8,34.4,4,1,0.8,126.6,115.4,11.2,up,5,118.2,51.48,31.6,80.18,30.2,6.6,4.8,10.0,35.8,3,2,0.6,118.2,115.8,2.4,down,8.4,0.2,0.4,2.6,3.1,1.39,238.5
2025-12-06_CHA@TOR,4ecaf4bf-fa3e-461a-8005-6e73f58b1746,2025-12-06T00:30:00+00:00,scheduled,TOR,CHA,Toronto Raptors,Charlotte Hornets,Scotiabank Arena,Toronto,NBA,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,,583ec97e-fb46-11e1-82cb-f4ce4684ea4c,,5,114.2,45.26,33.8,70.94,29.0,10.4,3.4,14.6,32.6,2,3,0.4,114.2,114.2,0.0,stable,5,98.6,42.82,30.54,71.4,23.6,6.4,3.4,10.0,33.6,0,5,0.0,98.6,120.8,-22.2,up,15.6,0.4,6.6,5.4,1.28,3.8,230.5
2025-12-06_UTAH@NY,0e889fb1-ecfe-4bae-bf43-331ad1853cce,2025-12-06T00:30:00+00:00,scheduled,NY,UTAH,New York Knicks,Utah Jazz,Madison Square Garden,New York,NBA,583ec70e-fb46-11e1-82cb-f4ce4684ea4c,,583ece50-fb46-11e1-82cb-f4ce4684ea4c,,5,110.0,46.44,36.26,76.58,27.4,9.2,4.0,10.8,29.6,2,3,0.4,110.0,109.0,1.0,up,5,119.0,44.6,36.04,83.0,24.8,8.4,3.4,14.0,33.4,1,4,0.2,119.0,134.8,-15.8,up,-9.0,0.2,25.8,2.6,1.08,8.5,239.5
2025-12-06_POR@DET,59b7169e-d3ac-4d54-8779-c0a9adb88788,2025-12-06T00:30:00+00:00,scheduled,DET,POR,Detroit Pistons,Portland Trail Blazers,Little Caesars Arena,Detroit,NBA,583ec928-fb46-11e1-82cb-f4ce4684ea4c,,583ed056-fb46-11e1-82cb-f4ce4684ea4c,,5,117.4,48.04,35.88,67.24,27.8,6.4,5.6,10.4,29.6,1,4,0.2,117.4,121.4,-4.0,down,5,110.8,42.62,28.58,68.76,24.6,9.2,5.2,16.2,33.6,2,3,0.4,110.8,108.8,2.0,up,6.6,-0.2,-12.6,3.2,1.33,3.45,235.5
2025-12-06_IND@CHI,0c1c2c0c-014e-4365-ba3a-4bffeb329bd4,2025-12-06T01:00:00+00:00,scheduled,CHI,IND,Chicago Bulls,Indiana Pacers,United Center,Chicago,NBA,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,,583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,,5,120.8,48.94,36.26,85.88,29.2,8.6,4.4,11.8,37.2,4,1,0.8,120.8,110.8,10.0,up,5,116.8,43.44,31.82,78.14,26.8,8.6,8.0,12.2,36.0,4,1,0.8,116.8,115.4,1.4,down,4.0,0.0,4.6,2.4,1.49,2.7,237.5
2025-12-06_PHX@HOU,d67745ea-a8b3-487a-b92e-be07c2bda547,2025-12-06T01:00:00+00:00,scheduled,HOU,PHX,Houston Rockets,Phoenix Suns,Toyota Center,Houston,NBA,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,,583ecfa8-fb46-11e1-82cb-f4ce4684ea4c,,5,113.6,47.8,39.74,66.28,25.6,8.2,5.0,12.0,31.0,2,3,0.4,113.6,121.4,-7.8,up,5,104.0,44.88,29.98,76.04,25.6,9.6,4.2,11.8,28.8,1,4,0.2,104.0,115.4,-11.4,down,9.6,0.2,-6.0,0.0,1.18,5.1,223.5
2025-12-06_LAC@MEM,6cbfda77-35d2-47e5-8e74-e15878a71d75,2025-12-06T01:00:00+00:00,scheduled,MEM,LAC,Memphis Grizzlies,LA Clippers,FedExForum,Memphis,NBA,583eca88-fb46-11e1-82cb-f4ce4684ea4c,,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,,5,119.8,46.7,36.18,77.4,25.0,8.4,4.0,13.0,35.6,3,2,0.6,119.8,111.6,8.2,down,5,123.2,53.66,43.48,82.12,28.2,8.8,2.2,10.2,33.2,5,0,1.0,123.2,111.4,11.8,up,-3.4,-0.4,-0.2,-3.2,,,
2025-12-06_PHI@MIL,8602f248-21ea-4e7b-9717-7470af4dbedb,2025-12-06T01:00:00+00:00,scheduled,MIL,PHI,Milwaukee Bucks,Philadelphia 76ers,Fiserv Forum,Milwaukee,NBA,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,,583ec87d-fb46-11e1-82cb-f4ce4684ea4c,,5,124.4,50.5,40.72,72.22,28.6,8.6,5.0,8.4,35.4,5,0,1.0,124.4,114.6,9.8,down,5,109.6,43.42,31.9,73.48,23.0,7.8,5.6,13.4,32.0,1,4,0.2,109.6,116.0,-6.4,stable,14.8,0.8,1.4,5.6,2.05,1.8,223.5
2025-12-06_DAL@OKC,de780451-aa86-462b-8ee2-18ff29b72a64,2025-12-06T02:30:00+00:00,scheduled,OKC,DAL,Oklahoma City Thunder,Dallas Mavericks,Paycom Center,Oklahoma City,NBA,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,,583ecf50-fb46-11e1-82cb-f4ce4684ea4c,,5,124.0,48.68,37.08,77.66,25.4,9.8,3.6,10.8,33.8,4,1,0.8,124.0,113.8,10.2,down,5,102.6,47.58,28.5,69.74,24.2,6.4,5.4,9.4,33.0,1,4,0.2,102.6,119.0,-16.4,down,21.4,0.6,5.2,1.2,1.09,8.0,229.5
